address,atomiq_tokens
mtc1qxuun897hperafkhk8yp7qnycykfmnpfz5jlqquh,18606.2940781855
mtc1q9qxkhhmflzsq95zwa2c78xgee4jcmnenq5qtk6a,18599.6177064084
mtc1q8c3483lp7258q0ncxq3cd8y6uvq5sfe4gvkyaln,18046.2524176565
mtc1qxh5p6xj6thu8dyn0h4z4zr5awjkcdgvfve0c5rp,17921.5729202613
mtc1qygmlfyj9rczrpqxaep5a0exztenk6zxpvu05kzk,17740.5759625417
mtc1qx20nqhydg2l2a5r0yyxs0ujaznvxufxmsl04d2t,17705.5353886496
mtc1qxl7uwr0mpprps4tjdegmhf045652rw5gcwqrehm,17433.0291422747
mtc1q850rqj25lxynfapxagq8gk2txfa7jqmvyasgjgj,17182.8843054946
mtc1qx5xxq2ak63cp7feew6lsxhg93e54ejnv53mgh65,17181.6345678921
mtc1qx2caynw9ykle2fp5nh4v52gfvffzfxk4u3nkrar,17144.2811045993
mtc1qx3zmy3a4lct0040fw4zl5xkxy95m2e345ngyrlf,16812.5604600566
mtc1q98sv9x844a00vlqgh6tsgjquujf3pszzqmjxzd7,16175.0721208045
mtc1qx5pwf9nzmn4u5prhvcx4lt995yvt2j09udmg0kn,16116.929755193
mtc1qx6uay3eatsl5trd8rhan05ta5atmpaedcdre92u,15782.0969971685
mtc1q8lhhfcuh0q2ke395dar0vkk2zmfw6ej2ydk3t03,15382.409171078
mtc1q80l94xeswucg4f63nncnqdj4tt8cvjayuc0h5qa,14958.9799453664
mtc1qxe0zsy0j5r7dpl8qxua0zxrck9d8mmefsuwmu3h,14948.2869517209
mtc1qxceayhhzn05zr0qw5ved0yx7wy6047z5ugqwa5g,14830.5234736206
mtc1qyaz06rrxudsgfw8jh4tg2z9gvckqglz7vh9w0zk,14730.2922601642
mtc1q98gn2thtss2pf9lak6myvey0e4dcn5wys0zdjah,14694.3947041727
mtc1q8alld3jlqxpk77mpra8xx99vcvtgw306c42c94h,14660.0581105746
mtc1qy44n6leacw6cf7fst2455gexjvkc4rdaqh2uh5f,14632.3637420429
mtc1q96exdc43na97n785e9jhzrtu9tdpg4fx55az0rc,14206.1911429318
mtc1q9n0we3m3rp254a7guxnmtdj8p3q0uuymvumlhy4,14096.436142166
mtc1q8un7n7cpfal5twm2nf36vzkym9f9vua5grhthfc,13945.6446632422
mtc1qya9nuedwd522xfvym2krutt36gc5pvyzcjvxu20,13928.9483987415
mtc1qy6zker4tjs2yz8jyd58hju34cvj40vw4vxaf0j0,13757.1307406483
mtc1q9l5fngaucshs3gtgq60e86xrhfz5w2xt5tw3sxe,13429.261404673
mtc1qy744lmv34rgwfax9mzdtyqnd8elw30hsc67sgdy,13312.8335464605
mtc1qxg9muv3dnjzuekfynkurp9y6yptauzrtu90u0u2,12981.9355170534
mtc1qxaym0r2q3ltptwuvvdjvs3tqk3y6w3y5sweav68,12907.5368801878
mtc1qxjde0w5vwz044asrjjgwtx8j2gtspp6cy70hzm3,12903.0040870937
mtc1qxutwsuhgx7gv4qj8zf5unpd0yqjv0tjcqr796zp,12717.3550805763
mtc1q9jaesv5u9333h4tg2u8add6ppn5rtj4uvrps5lg,12678.4575182272
mtc1qy975f3xxz54n0tg785v6jes3z8r3p4l5sh3p433,12618.9329571149
mtc1qyf5kfjzxd965kf6ujlxhqralpw97qwgaym9ekyx,12577.737295855
mtc1qxmn9qrf8ua9mzulh8s807wyvagrxhuqjqxmjpy4,12511.5783228632
mtc1qyewup7gncz4u9hxmdlx4efu7ltyfy7895qsae9x,12431.4903567639
mtc1q8ma0vzarplcxtwaayt8c4d8utekmj8axqs5jwat,12264.4418817317
mtc1qycuga4tyrz7nplhtnna9npavaw246x8x55lcnxa,12199.999926049
mtc1q8sztv4p3l5strjvl95axjjxz3kuucglsvkz9mj4,12106.0780981537
mtc1qx7rwedjmp4sm2gwg6ah0gthl6gdvvx4nq2tnkvh,12061.6563075658
mtc1qxw4cjntfkep3urkmctdvtxqznx0vl0qfgc05w3d,11838.2604231059
mtc1qyj05k9guxvp5vjs0tdfnj6jt6cs3wegmssasheh,11547.2943111012
mtc1qxg2hgf29cetd7tw8l2d8ezzj9xjvx7pcqyn6prk,11419.8294215784
mtc1qyf9wm35nsunr39mpkehkut8jr0zfrkglsgky5xu,11339.06227311
mtc1qx48dwawgzj7v5mwt0yejey9v08k4uh2ju6dlw5r,11275.5576860282
mtc1q90tk5s8j7y07fm2dfrgn0gh4tms9660vsvt2rhq,11259.7904215086
mtc1q86ezuktyfeylsda4swr6e57kkrtrktgag48fwux,10886.0257865593
mtc1qym2jmftetrua8xa52lwtm3y8vdd55rzfs5pajkl,10737.4910584196
mtc1q8vwwq6l2reaj0tu577tteqhhyyhlhv8yqsfjx9l,10693.0121729869
mtc1q86yrfj2n4k0lvdxjeeddp50cu80xtfm5qvf5mc7,10667.8250677515
mtc1q8zn07vr7356hs3vxehdkp96j04fa4y65q6hmh3q,10600.7334995316
mtc1q8g8k32arhs3excufccy4v9an9gkyh472sca2jrp,10585.4412368766
mtc1q94fz2ea22wgpkvackwn5e0wzcvzntxwugntmpta,10497.1362266173
mtc1q9ntw3k0fja6psk6pt0m07t3gslcrhqqk5kprnfn,10472.5542941979
mtc1qypx6uk6sc5a0j495yud4ytaxre03ynku5agpsx0,10464.9975352739
mtc1qxezsuvvrslz7m9ah8c3n72yssftsyd0sy29vxle,10415.5758526988
mtc1q8v4sa8q70vztsmxv7maan2dfznyhqrcrg8h503q,10373.1476249737
mtc1q9lz2t3zadszcssqv37ee4lgqf8pts8awvmxxm5n,10370.0686872995
mtc1q8unfgjrsnyxjnuq9w9qewg95g2a8lz6vcye7rde,10355.8951459507
mtc1qxc4s6da4rq3kvf5t85ps0hrwjn27rn48czm2n25,10322.275323613
mtc1qxftjxqv45rqjynpm9mqew2x62plsnyk95m6rltt,10180.1496941674
mtc1qxpt548ysdp0t7t9g8kw5jpdzf7ry0rf2cmp0zfc,9776.417972885
mtc1qx8mr56ypg369gv0az9ce3m4ymy965sxhq8ttjgw,9728.1876925561
mtc1qycwge2rvu2c02sl02e0sgvy3l8ec7h5fga3rrm7,9610.2405468837
mtc1qyt5n3dh92ct50a8xe2y8r6k974q2tangg8zwzze,9555.2825223615
mtc1qy9xj4n2tjfu6s4wty8rghgg3gru8zpfdy5uaynv,9517.2888829557
mtc1qyjju9sdkc9453wcckglz8pnt5hc2r208vg7lqkn,9460.5422922886
mtc1qxz2zjrpgjamvtptajcp0jhpt9utvugwhsh533hh,9442.5135224083
mtc1qxtuu6pef4uh5c4upgujxleze0cnmkrnuvwa49u0,9420.4015301334
mtc1q9s9ntpzy3z2zzgqcz2m5an2mzw89hwf7sxquzun,9412.3530129662
mtc1qxlggqhy8fzmrf6f8de269jzc759rfkrlg3hz8he,9409.8122210414
mtc1qxfxuyh0yt9g9yg97ek0flnek43w7rft2yeepspg,9359.6918422847
mtc1q9vdug0x9lc0amss5emwe42vs90wjv03wva56rsp,9336.4778589572
mtc1q84m9fjeezjkcsy8plcnd92kzd9v630h4ckpvtlm,9327.7997016962
mtc1q94fqametmndk23j5hhn5w5yrw7nls8aws3zn6u6,9271.3798882076
mtc1qxgj4mmvkxvrvcuqp96jhktxx7c8xu4lf5dep3f9,9188.3402811104
mtc1q89muepdc9gt7wkc7eukcm8t7qavfkf5jvachydc,9153.4117426084
mtc1q9n53way2c3ermr8nj47mrqw2qmpgzdjeg3xp09t,9137.8966882555
mtc1qyw5xwc6zkt4lp0xz4kdgpkfxcrlvvvegyptkpcx,9031.0059503562
mtc1qxk9an6tm33fq3ra3tqy924jgwcfl64a2su0y7us,8964.696065237
mtc1qy8vqgetn0vd4ytwdrkznmvmzx5sndz7quq30ra0,8856.6870081375
mtc1q8c8j2kdvt8mg3cd9up8500lnp2jxh53avf9vsep,8737.1318203764
mtc1qyxqva7u4crds8uc5h2ed25nx60c7tzqs5jcfx04,8720.3849153712
mtc1q8m96hfnh0yngumkuyp50vtcqevrzwa0tufkcgan,8618.8173949852
mtc1q830jq9qlc6jslafvx4cdc630sn5s0vtp5x7j3ek,8614.2862646173
